publication_type,author,book_authors,group_authors,book_group_authors,researcher_id_number,orcid_identifier,editors,title,funding_text,part_number,patent_assignee,publication_name,book_series_title,book_series_subtitle,volume,issue,special_issue,meeting_abstract,beginning_page,ending_page,article_number,digital_object_identifier,book_digital_object_identifier,early_access_date,supplement,publication_date,published_year,abstract,conference_title,conference_date,conference_sponsor,conference_location,wos_core_collection_times_cited_count,total_times_cited_count,issn,electronic_issn,international_standard_book_number,accession_number,pubmed_id
J,"Mueller, Sarah Marie; Peisker, Jasmin; Bieling, Claudia; Linnemann, Kathrin; Reidl, Konrad; Schmieder, Klaus",,,,,"Bieling, Claudia/0000-0001-5001-4150; Muller, Sarah Marie/0000-0003-2744-9871",,The Importance of Cultural Ecosystem Services and Biodiversity for Landscape Visitors in the Biosphere Reserve Swabian Alb (Germany),,,,SUSTAINABILITY,,,11,9,,,,,,10.3390/su11092650,,,,MAY 1 2019,2019,"Agricultural landscapes play an important role in providing different ecosystem services. However, the current trend of land use intensification in Central Europe involves the risk of trade-offs between them. Since cultural ecosystem services (CES) are less tangible, they are often underrepresented in landscape management decisions. To highlight this subject we evaluated CES in agro-ecosystems in the biosphere reserve Swabian Alb (Southwestern Germany). We conducted a survey among visitors to investigate their usage of the landscape, their perception as well as valuation of CES, and interrelations with biodiversity. The results show the presence of various types of usage related to cultural services, the most prominent being recreation and landscape aesthetics. People declared a high affinity to nature and biodiversity awareness. A participatory mapping task revealed their appreciation of biodiverse and ecologically relevant places such as protected species-rich grasslands, traditional orchards and hedgerows. Several socio-demographic differences emerged, e.g., between age classes and local/non-local visitors. We conclude that our exemplary methodical approach was successful in capturing the CES and their link to biodiversity in the investigated biosphere reserve, while identifying priority fields of action concerning the integration of CES into management and planning of cultural landscapes, ultimately serving as guides for local decision-makers.",,,,,2,2,,2071-1050,,WOS:000469518700198,
J,"Rall, Emily; Hansen, Rieke; Pauleit, Stephan",,,,,"Pauleit, Stephan/0000-0002-0056-6720; Hansen, Rieke/0000-0002-4230-1579",,The added value of public participation GIS (PPGIS) for urban green infrastructure planning,,,,URBAN FORESTRY & URBAN GREENING,,,40,,SI,,264,274,,10.1016/j.ufug.2018.06.016,,,,Apr-19,2019,"Urban green infrastructure (UGI) planning is a new approach to planning that aims to develop multifunctional networks of green and blue spaces designed and managed to deliver a wide range of ecosystem services, and thereby, to improve quality-of-life in cities. However, moving current practice in urban green space planning towards the UGI planning approach will require higher quality information about a wider array of ecosystem services than currently measured and more spatially detailed social valuation methods. This paper explores the added value of public participation GIS (PPGIS), a relatively new type of survey for obtaining social values, as a tool for UGI planning. We do this by surveying real-life assessment tools for CES used in the case study city of Berlin and comparing the results of these with those of a PPGIS survey conducted in the city. The discussion centers on application of PPGIS results for UGI planning, focusing on their potential for enhancing multifunctionality at different spatial scales. At the site-level, the tool can help target conflict and less valued areas for redesign and management, as well as identifying particularly loved park features for protection. At the districtand city-level, we found potential for improving representativeness and accuracy of expert-based assessments, identifying coldspots and difficult-to-map functions, correcting deficits and increasing understanding of functional synergies. Outside of enhancing multifunctionality assessment, PPGIS may also support implementation of other defining principles of UGI planning, such as connectivity of green spaces, integrating urban green infrastructure with other infrastructure and ensuring collaborative, socially-inclusive planning processes.",,,,,7,7,1618-8667,,,WOS:000467261400028,
J,"Delgado-Aguilar, Ma Jeaneth; Hinojosa, Leonith; Schmitt, Christine B.",,,,,"Hinojosa, Leonith/0000-0002-2563-4486; Schmitt, Christine B./0000-0002-8527-9682",,Combining remote sensing techniques and participatory mapping to understand the relations between forest degradation and ecosystems services in a tropical rainforest,,,,APPLIED GEOGRAPHY,,,104,,,,65,74,,10.1016/j.apgeog.2019.02.003,,,,Mar-19,2019,"Forest degradation is an environmental problem that falls in the domains of different disciplines. Therefore, it is necessary to tackle this issue from a multidisciplinary perspective to support the design of appropriate forest monitoring systems and policies. The overall goal of this study was to combine remote sensing (RS) and ecosystem services (ES) data to better understand how the demand for ES is related to forest degradation. The study area was the Sumaco Biosphere Reserve located in central-northern Ecuador. First, participatory mapping (208 respondents) was employed to identify the demand and location for five predefined ES categories in tropical forest. Next, RS data were used to delineate degraded forest areas based on an empirically derived canopy cover value of 30-86%. The results show that the majority of ES locations was situated in areas with a canopy cover higher than 90%, which corresponds to undisturbed forest, while in degraded forest there were fewer ES locations. Considering the land-use pattern in the study area, there is a great danger that the undisturbed forest encountered at the time of the study will be degraded in future if uncontrolled forest use continues. The results of this study will be useful to local authorities for developing specific forest management strategies, and the methodology can support national and subnational forest monitoring systems.",,,,,3,3,0143-6228,1873-7730,,WOS:000461404800007,
J,"Schmidt, Katja; Martin-Lopez, Berta; Phillips, Peter M.; Julius, Eike; Makan, Neville; Walz, Ariane",,,,"Martin-Lopez, Berta/R-9397-2017; Walz, Ariane/F-1517-2013","Martin-Lopez, Berta/0000-0003-2622-0135; Walz, Ariane/0000-0001-5616-4424",,Key landscape features in the provision of ecosystem services: Insights for management,,,,LAND USE POLICY,,,82,,,,353,366,,10.1016/j.landusepol.2018.12.022,,,,Mar-19,2019,"Whereas ecosystem service research is increasingly being promoted in science and policy, the utilisation of ecosystem services knowledge remains largely underexplored for regional ecosystem management. To overcome the mere generation of knowledge and contribute to decision-making, scientists are facing the challenge of articulating specific implications of the ecosystem service approach for practical land use management. In this contribution, we compare the results of participatory mapping of ecosystem services with the existing management plan for the Pentland Hills Regional Park (Scotland, UK) to inform its future management plan. By conducting participatory mapping in a workshop with key stakeholders (n = 20), we identify hotspots of ecosystem services and the landscape features underpinning such hotspots. We then analyse to what extent these landscape features are the focus of the current management plan. We found a clear mismatch between the key landscape features underpinning the provision of ecosystem services and the management strategy suggested. Our findings allow for a better understanding of the required focus of future land use management to account for ecosystem services.",,,,,9,9,0264-8377,1873-5754,,WOS:000459358100033,
J,"Munro, Jennifer; Kobryn, Halina; Palmer, David; Bayley, Sam; Moore, Susan A.",,,,"Kobryn, Halina/E-5051-2012","Kobryn, Halina/0000-0003-1004-7593",,Charting the coast: spatial planning for tourism using public participation GIS,,,,CURRENT ISSUES IN TOURISM,,,22,4,,,486,504,,10.1080/13683500.2017.1346589,,,,FEB 25 2019,2019,"Coastal tourism continues to experience sustained growth on a global scale, leading to concerns regarding socio-cultural, economic and environmental impacts. To-date, the explicit integration of tourism development with coastal management has lagged behind more traditional planning concerns, presenting an opportunity and challenge for managers. Spatial planning using public participation geographical information systems (PPGIS) offers one solution for integration that is cognisant of the centrality of place in tourism. PPGIS was used to document spatially explicit data on place values, activities and development preferences along the remote, Aboriginal-managed Port Smith (Purnturrpurnturr) coastline in Western Australia. The research was developed and implemented as a collaborative partnership between Aboriginal custodians and University researchers. Ninety-seven questionnaires containing participatory mapping were conducted with residents and visitors. The participatory mapping approach successfully identified areas of potential conflict and allows tourism planners and managers to implement spatial planning that explicitly recognises and accounts for visitor values and preferences. Tourism, as well as marine spatial planning, can be enhanced by a holistic approach that considers both tangible and intangible socio-spatial data. Such an approach is likely to foster a more nuanced appreciation of what is valued in the landscape, providing greater insights to support sustainable long-term planning.",,,,,8,7,1368-3500,1747-7603,,WOS:000454948100009,
J,"Garcia-Ayllon, Salvador",,,,"Garcia-Ayllon, Salvador/R-6866-2018","Garcia-Ayllon, Salvador/0000-0001-5942-5503",,New Strategies to Improve Co-Management in Enclosed Coastal Seas and Wetlands Subjected to Complex Environments: Socio-Economic Analysis Applied to an International Recovery Success Case Study after an Environmental Crisis,,,,SUSTAINABILITY,,,11,4,,,,,1039,10.3390/su11041039,,,,FEB 2 2019,2019,"Enclosed coastal seas and wetlands are areas of high ecological value with singular fauna and flora, but several cases of environmental catastrophes in recent decades can easily be referenced in the international literature. The management of these natural territories is complex in developed countries since they are usually subjected to intense human activity with a varied catalog of activities and anthropizing features that alter the balance of the ecosystem. In this article, the concept of the Socio-Ecological System (SES) to diagnose and achieve a sustainable cohabitation between human anthropization and the natural values based on the tool of GIS participatory mapping is proposed as an innovative approach for the management and recovery of these complex areas. The article develops a comprehensive general methodology of spatial GIS diagnosis, planning, and co-management implementation between public and private stakeholders combined with economic tools such as the Willingness to Pay (WTP) and the Cost Transfer Sector (CTS). This innovative approach is applied to the Mar Menor lagoon, which is an international and successful case study of environmental recovery on the Spanish Mediterranean coast. The coastal lagoon suffered an unprecedented eutrophication crisis in 2015, but it managed to recover in the summer of 2018 without the need to implement major structural measures. In this case study, several solutions to redress the current impacts will be developed through a participatory process based on GIS mapping. Lastly, the discussion reflects the concept of self-resilience of an ecosystem based on the unexpected positive turn of the environmental crisis in the lagoon ending.",,,,,8,8,,2071-1050,,WOS:000460819100099,
J,"Picchi, Paolo; van Lierop, Martina; Geneletti, Davide; Stremke, Sven",,,,"Geneletti, Davide/AAH-5407-2019","Geneletti, Davide/0000-0002-5528-3365",,Advancing the relationship between renewable energy and ecosystem services for landscape planning and design: A literature review,,,,ECOSYSTEM SERVICES,,,35,,,,241,259,,10.1016/j.ecoser.2018.12.010,,,,Feb-19,2019,"The transition to a low carbon future is starting to affect landscapes around the world. In order for this landscape transformation to be sustainable, renewable energy technologies should not cause critical trade-offs between the provision of energy and that of other ecosystem services such as food production. This literature review advances the body of knowledge on sustainable energy transition with special focus on ecosystem services-based approaches and methods. Two key issues emerge from this review: only one sixth of the published applications on the relation between renewable energy and landscape make use of the ecosystem service framework. Secondly, the applications that do address ecosystem services for landscape planning and design lack efficient methods and spatial reference systems that accommodate both cultural and regulating ecosystem services. Future research efforts should be directed to further advancing the spatial reference systems, the use of participatory mapping and landscape visualizations tools for cultural ecosystem services and the elaboration of landscape design principles.",,,,,11,11,2212-0416,,,WOS:000457119300025,
J,"Bogdan, Sorina Mihaela; Stupariu, Ileana; Andra-Toparceanu, Andreea; Nastase, Irina Iulia",,,,,,,MAPPING SOCIAL VALUES FOR CULTURAL ECOSYSTEM SERVICES IN A MOUNTAIN LANDSCAPE IN THE ROMANIAN CARPATHIANS,,,,CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,,,14,1,,,199,208,,10.26471/cjees/2019/014/072,,,,Feb-19,2019,"Cultural ecosystem services are the non-material benefits that people obtain from ecosystems such as aesthetic quality of landscapes, recreation and learning opportunities, or even therapeutic or spiritual contributions to human wellbeing. The assessment, quantification and mapping of ecosystem services, and in particular cultural ecosystem services are essential for a proper understanding of the values of natural capital and for a better integration of these values in management and decision-making processes. Our study aims to assess and map the cultural ecosystem services in a protected area, through the perception of tourists, as their beneficiaries. To this purpose, we use the concept of social values for ecosystem services, as perceived, non-material values that the public attributes to ecosystems and landscapes. The analysis focuses on an area in the upper Raul Targului catchment in the Romanian Carpathian Mountains, which is part of two NATURA2000 SCI sites. The data regarding the perceived social values was obtained through participatory mapping methods and was then analyzed using GIS tools. Our results showed Recreation as the most appreciated social value for cultural ecosystem services, followed closely by the Aesthetic and Education values. Important hotspots for social values were identified along the river valleys, tourist trails and on the mountain tops. These results offer useful information that can be used towards a better planning of tourism infrastructure and activities in the upper Raul Targului catchment area.",,,,,1,1,1842-4090,1844-489X,,WOS:000454673000020,
J,"Strain, E. M. A.; Morris, R. L.; Bishop, M. J.; Tanner, E.; Steinberg, P.; Swearer, S. E.; MacLeod, C.; Alexander, K. A.",,,,"Morris, Rebecca/AAB-3364-2020; Swearer, Stephen/X-4882-2018; SWEARER, STEPHEN/AAC-1527-2020; Alexander, Karen/O-7042-2017; Strain, Elisabeth/U-3520-2017; Macleod, Catriona/J-7176-2014","Swearer, Stephen/0000-0001-6381-9943; SWEARER, STEPHEN/0000-0001-6381-9943; Alexander, Karen/0000-0001-8801-413X; Strain, Elisabeth/0000-0003-2165-9544; Macleod, Catriona/0000-0002-0539-6361; Morris, Rebecca/0000-0003-0455-0811; Bishop, Melanie/0000-0001-8210-6500",,Building blue infrastructure: Assessing the key environmental issues and priority areas for ecological engineering initiatives in Australia's metropolitan embayments,,,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,,230,,,,488,496,,10.1016/j.jenvman.2018.09.047,,,,JAN 15 2019,2019,"Ecological engineering principles are increasingly being applied to develop multifunctional artificial structures or rehabilitated habitats in coastal areas. Ecological engineering initiatives are primarily driven by marine scientists and coastal managers, but often the views of key user groups, which can strongly influence the success of projects, are not considered. We used an online survey and participatory mapping exercise to investigate differences in priority goals, sites and attitudes towards ecological engineering between marine scientists and coastal managers as compared to other stakeholders. The surveys were conducted across three Australian cities that varied in their level of urbanisation and environmental pressures. We tested the hypotheses that, relative to other stakeholders, marine scientists and coastal managers will: 1) be more supportive of ecological engineering; 2) be more likely to agree that enhancement of biodiversity and remediation of pollution are key priorities for ecological engineering; and 3) identify different priority areas and infrastructure or degraded habitats for ecological engineering. We also tested the hypothesis that 4) perceptions of ecological engineering would vary among locations, due to environmental and socio-economic differences. In all three harbours, marine scientists and coastal managers were more supportive of ecological engineering than other users. There was also greater support for ecological engineering in Sydney and Melbourne than Hobart. Most people identified transport infrastructure, in busy transport hubs (i.e. Circular Quay in Sydney, the Port in Melbourne and the Waterfront in Hobart) as priorities for ecological engineering, irrespective of their stakeholder group or location. There were, however, significant differences among locations in what people perceive as the key priorities for ecological engineering (i.e. biodiversity in Sydney and Melbourne vs. pollution in Hobart). Greater consideration of these location-specific differences is essential for effective management of artificial structures and rehabilitated habitats in urban embayments.",,,,,3,3,0301-4797,1095-8630,,WOS:000452582600047,30340122
R,"Jones, Lizzie; Holland, Robert A; Ball, Jennifer; Sykes, Tim; Taylor, Gail; Ingwall-King, Lisa; Snaddon, Jake L; Peh, Kelvin S-H",,,,,,,Data from: A place-based participatory mapping approach for assessing cultural ecosystem services in urban green space,,,,Dryad,,,,,,,,,,http://dx.doi.org/10.5061/DRYAD.427C0PR,,,,7/6/20,2019,"1. Cultural Ecosystem Services (CES) encompass a range of social, cultural and health benefits to local communities, for example recreation, spirituality, a sense of place and local identity. However, these complex and place-specific CES are often overlooked in rapid land management decisions and assessed using broad, top-down approaches. 2. We use the Toolkit for Ecosystem Service Site-based Assessment (TESSA) to examine a novel approach to rapid assessment of local CES provision using inductive, participatory methods. We combined free-listing and participatory geographic information systems (GIS) techniques to quantify and map perceptions of current CES provision of an urban green space. The results were then statistically compared with those of a proposed alternative scenario with the aim to inform future decision-making. 3. By identifying changes in the spatial hotspots of CES in our study area, we revealed a spatially-specific shift toward positive sentiment regarding several CES under the alternative state with variance across demographic and stakeholder groups. Response aggregations in areas of proposed development reveal previously unknown stakeholder preferences to local decision-makers and highlight potential trade-offs for conservation management. Free-listed responses revealed deeper insight into personal opinion and context. 4. This work serves as a useful case study on how the perceptions and opinions of local people regarding local CES could be accounted for in the future planning of an urban greenspace and how thorough analysis of CES provision is important to fully-inform local-scale conservation and planning for the mutual benefit of local communities and nature. FreelistTextFree listing information with location by coordinates and zone of the parkParticipant DemographicsParticipant demographic information, use and perceptions of the parkParticipantDemographics.csv Copyright: CC0 1.0 Universal (CC0 1.0) Public Domain Dedication",,,,,0,0,,,,DRCI:DATA2020152019664173,
J,"Garcia-Nieto, Ana P.; Huland, Elias; Quintas-Soriano, Cristina; Iniesta-Arandia, Irene; Garcia-Llorente, Marina; Palomo, Ignacio; Martin-Lopez, Berta",,,,,,,Evaluating social learning in participatory mapping of ecosystem services,,,,Ecosystems and People,,,15,1,,,257,268,,10.1080/26395916.2019.1667875,,,,JAN 1 2019,2019,"Recent studies have shown the opportunities and limitations of participatory mapping for ecosystem services management, although it is an incipient research area. One of the research questions yet to be addressed is whether the composition of stakeholder groups has an effect on the outputs of participatory mapping. In this study, we assessed the influence of group composition on the mapped spatial distribution of ecosystem services. We developed two participatory mapping workshops of the ecosystem service supply and demand in the Nacimiento Watershed (Andalusia, Spain). In workshop 1, stakeholders were uniformly grouped according to their level of influence on land management. In workshop 2, we created mixed groups, with participants having dissimilar levels of influence on land management. The strategy of the second workshop aimed to foster social learning among participants, which was expected to influence the mapping outputs. We compared the outputs regarding the mapped spatial distribution of the ecosystem service supply and demand between the two workshops. Our results suggest that social learning occurred in groups with a mixed composition of participants, affecting the mapped spatial distribution of the supply and demand of ecosystem services. Finally, we discuss that knowledge exchange among participants can be supported through deliberative processes that occur in participatory settings, when stakeholders have different degrees of influence on land management. This can also enrich the assessment of the distribution of ecosystem services.",,,,,0,0,2639-5908,2639-5916,,BCI:BCI202000278637,
J,"Nguyen Thi Hong; Saizen, I.",,,,,,,"Forest ecosystem services and local communities: towards a possible solution to reduce forest dependence in Bach Ma National Park, Vietnam.",,,,Human Ecology,,,47,3,,,465,476,,10.1007/s10745-019-00083-x,,,,2019,2019,"Conservation of protected areas is likely to be challenging in the long term if the dependence of local communities on natural resources is not measured appropriately. We investigated forest ecosystem services utilized by communities living around the Bach Ma National Park, Vietnam, and examined their spatial distributions through the integration of data from interviews, participatory mapping, and GIS analysis. The results suggest that provisioning services are crucial to the local livelihoods, and especially for an ethnic minority group. Many respondents confirmed the collection of specific types of forest foods, materials, and water resources mainly used for family consumption. We conducted spatial pattern analysis with land use, administrative units, terrain conditions, and accessibility, and clarified the characteristics of the spatial distribution of ecosystem service collection in relation to these factors, resource abundance, and forest governance. We propose the introduction of community-based tourism as one means to improve the livelihood opportunities of the ethnic minority groups to reduce their forest dependence.",,,,,0,0,0300-7839,,,CABI:20193399778,
J,"Mugari, Ephias; Masundire, Hillary; Bolaane, Maitseo; New, Mark",,,,"New, Mark/A-7684-2008","New, Mark/0000-0001-6082-8879",,"Perceptions of ecosystem services provision performance in the face of climate change among communities in Bobirwa sub-district, Botswana",,,,INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,,,11,2,,,265,288,,10.1108/IJCCSM-09-2017-0178,,,,2019,2019,"Purpose Between 2006 and 2016, local communities in semi-arid Bobirwa sub-district in the Limpopo Basin part of Botswana had endured notable fluctuations in the delivery of critical ecosystem services. These changes have been coupled with adverse effects on local people's livelihood options and well-being. However, a few such studies have focussed on the semi-arid to arid landscapes. This study therefore aims to provide recent knowledge and evidence of consequences of environmental change on semi-arid arid landscapes and communities.Methodology To examine these recent changes in key ecosystem services, the authors conducted six participatory mapping processes, eight key informant interviews and several rapid scoping appraisals in three study villages. The analyses were centred on changes in seasonal quantities, seasonality, condition of ecosystem service sites, distance to ecosystem service sites and total area providing these services. Drivers of change in the delivery of key ecosystem services and the associated adverse impacts on human well-being of these recent changes in bundles of ecosystem services delivered were also analyzed.Findings Results show that adverse weather conditions, drought frequency, changes in land-use and/or land-cover together with unsustainable harvesting because of human influx on local resources have intensified in the past decade. There was circumstantial evidence that these drivers have resulted in adverse changes in quantities and seasonality of key ecosystem services such as edible Mopane caterpillars, natural pastures, wild fruits and cultivated crops. Similarly, distance to, condition and total area of sites providing some of the key ecosystem services such as firewood and natural pastures changed adversely. These adverse changes in the key ecosystem services were shown to increasingly threaten local livelihoods and human well-being.Research limitations/implications This paper discusses the importance of engaging rural communities in semi-arid areas in a participatory manner and how such information can provide baseline information for further research. The paper also shows the utility of such processes and information toward integrating community values and knowledge into decisions regarding the management and utilization of local ecosystem services under a changing climate in data-poor regions such as the Bobirwa sub-district of Botswana. However, the extent to which this is possible depends on the decision makers' willingness to support local initiatives through existing government structures and programmes.Originality/value This study shows the importance of engaging communities in a participatory manner to understand changes in local ecosystem services considering their unique connection with the natural environment. This is a critical step for decision makers toward integrating community values in the management and utilization of ecosystem services under a changing climate as well as informing more sustainable adaptive responses in semi-arid areas. However, the extent to which decision makers can integrate such findings to inform more sustainable responses to declining capacity of local ecosystems in semi-arid areas depends on how they value the bottom-up approach of gaining local knowledge as well as their willingness to support local initiatives through existing government structures and programmes.",,,,,1,1,1756-8692,1756-8706,,WOS:000461571700006,
J,"Willemen, Louise; Crossman, Neville D.; Quatrini, Simone; Egoh, Benis; Kalaba, Felix K.; Mbilinyi, Boniface; de Groot, Rudolf",,,,"Quatrini, Simone/V-3779-2019; de Groot, Rudolf S/C-8666-2014; Willemen, Louise/O-2306-2015; Kalaba, Felix Kanungwe/AAE-8838-2019; Willemen, Louise/AAC-7935-2019","Quatrini, Simone/0000-0002-5036-5708; Willemen, Louise/0000-0003-1026-5865; Willemen, Louise/0000-0003-1026-5865",,Identifying ecosystem service hotspots for targeting land degradation neutrality investments in south-eastern Africa,,,,JOURNAL OF ARID ENVIRONMENTS,,,159,,SI,,75,86,,10.1016/j.jaridenv.2017.05.009,,,,Dec-18,2018,"Land degradation response actions need motivated stakeholders and investments to improve land management. In this study we present methods to prioritise locations for degradation mitigation investments based on stakeholder preferences for ecosystem services. We combine participatory and spatial modelling approaches and apply these for Zambia, South Africa, and Tanzania to: i) prioritise ecosystem services in each country; ii) to map the supply of these ecosystem services in each country, and; iii) prioritise areas important for investment for the continuous delivery of these ecosystem services based on their vulnerability to land degradation. We interviewed 31 stakeholders from governmental and non-governmental organizations to select the most important ecosystem services per county. Stakeholders were also asked to indicate on national maps the hotspots of these ecosystem services and locations with a high degradation risk. We then assessed the supply of the stakeholder-selected ecosystem services and land degradation risk using GIS-based spatial models. We found that for each country the spatial extent and magnitude of ecosystem services supply and land degradation based on GIS data coincides with stakeholder knowledge in some locations. In the context of supporting national level policy to achieve land degradation neutrality as proposed by the United Nations Convention to Combat Desertification we argue that the correct representation, the level of acceptance, and use of modelled outputs to support decisions will be greater when model outputs are corroborated by stakeholder knowledge. Ecosystem services that are identified as ""important"" by diverse stakeholder groups have a broader level of awareness and could therefore drive motivations, commitments, and actions towards improved land management, contributing to land degradation neutrality. (C) 2017 Elsevier Ltd. All rights reserved.",,,,,9,10,0140-1963,1095-922X,,WOS:000448093500009,
J,"Jaligot, Remi; Kemajou, Armel; Chenal, Jerome",,,,"Chenal, Jerome/P-1504-2018","Chenal, Jerome/0000-0002-8109-8358",,Cultural ecosystem services provision in response to urbanization in Cameroon,,,,LAND USE POLICY,,,79,,,,641,649,,10.1016/j.landusepol.2018.09.013,,,,Dec-18,2018,"In Africa, cities are unable to accommodate population growth within their current administrative limits, putting pressure on ecosystem services (ES) in peripheral areas. Existing ES related studies in the region were conducted in East and South Africa, and rarely focused on cultural ES in peri-urban areas. This study aimed to assess changes in the value of cultural ES in two peripheral areas of Yaounde, Cameroun. It applied the concept of ES through participatory geographic information systems (PGIS) to understand how the value of cultural ES has changed over time and how residents perceive it. It also considered the impact of land management by relating changes in ecosystem service provisioning areas (SPA), with the current land tenure system. We focused on two study areas, Mbahigong and Nkozoa, which were selected for their high urbanization rates. PGIS activities were conducted during twenty semi-directive interviews and one workshop per site. We found that the provision of ES decreased by more than 90% within an 18-year period, from 2000 to 2018. The lack of randomness in the distribution of ecosystem services showed that SPA had distinct functions for residents, but that this was not taken into consideration in planning decisions. We showed that current land management strategies are influenced by the land tenure system and do not incite landowners to preserve their parcels and associated SPA. While direct subsidies may not be appropriate, other approaches such as community land trusts may be more advisable for the preservation of SPA.",,,,,7,7,0264-8377,1873-5754,,WOS:000454378800057,
J,"Brown, Greg; Rhodes, Jonathan; Dade, Marie",,,,"Brown, Greg/AAA-6138-2019; Rhodes, Jonathan/C-4841-2008","Brown, Greg/0000-0003-3283-4619; Dade, Marie/0000-0001-6153-0732; Rhodes, Jonathan/0000-0001-6746-7412",,An evaluation of participatory mapping methods to assess urban park benefits,,,,LANDSCAPE AND URBAN PLANNING,,,178,,,,18,31,,10.1016/j.landurbplan.2018.05.018,,,,Oct-18,2018,"Traditional urban park research has used self-reported surveys and activity logs to examine relationships between health benefits, park use, and park features. An alternative approach uses participating mapping methods. This study sought to validate and expand on previous participatory mapping research methods and findings and address spatial scaling by applying these methods to a large urban park system. Key challenges for spatial scaling included ambiguity in park classification and achieving representative sampling for larger and spatially-disbursed urban residents. We designed an internet-based public participation GIS (PPGIS) survey and used household and volunteer sampling to identify the type and locations of urban park benefits. Study participants (n = 816) identified locations of physical activities and other urban park benefits (psychological, social, and environmental) which were analyzed by park type. Consistent with previous suburb-scale research, we found significant associations between urban park type and different urban park benefits. Linear parks were significantly associated with higher intensity physical activities; natural parks were associated with environmental benefits; and community parks were associated with benefits from social interaction. Neighborhood parks emerged as significantly associated with psychological benefits. The diversity of park activities and benefits were positively correlated with park size. Distance analysis confirmed that physical benefits of parks were closest to participant domicile, while social and environmental benefits were more distant. These results validate previous suburb-scale findings despite greater variability in park types and sample populations. Future urban park research using participatory mapping would benefit from greater effort to obtain participation from under-represented populations that can induce nonresponse bias, and analyses to determine whether system-wide results can be disaggregated by suburb or neighborhood to address social inequities in urban park benefits.",,,,,12,12,0169-2046,1872-6062,,WOS:000442710400003,
J,"Langemeyer, Johannes; Calcagni, Fulvia; Baro, Francesc",,,,"Langemeyer, Johannes/AAY-6252-2020; Langemeyer, Johannes/AAH-7736-2020; Baro, Francesc/C-1564-2019","Langemeyer, Johannes/0000-0002-0558-8486; Baro, Francesc/0000-0002-0145-6320",,Mapping the intangible: Using geolocated social media data to examine landscape aesthetics,,,,LAND USE POLICY,,,77,,,,542,552,,10.1016/j.landusepol.2018.05.049,,,,Sep-18,2018,"The ecosystem services concept is increasingly gaining momentum in land-use policies and landscape planning. Yet, cultural ecosystem services often lack proper assessments. With this study, we use novel methodological approaches to map the cultural ecosystem service landscape aesthetics for its enhanced consideration in land-use policies. Our study uses expert-based participatory mapping and crowd-sourced (social media) photo data to examine the spatial distribution of landscape aesthetics in the Province of Barcelona, Catalonia. We distinguish the capacity and flow of landscape aesthetics. Landscape aesthetics capacity was assessed through spatial multi-criteria evaluation, consisting of a viewshed analysis and an expert-based selection and weighting of landscape features. Landscape aesthetics flow, i.e., people's actual appreciation of landscape aesthetics, was assessed by analysing a sample of 13,460 geolocated photographs from the social media platform Flickr. Our results uncover a substantial mismatch between landscape aesthetics capacity and flow. While landscape aesthetics capacity is widely distributed across the case study area, landscape aesthetics flow is (with few exceptions) mostly concentrated in urban and periurban areas. The main insights for land-use policies derived from our results are twofold. On one hand, landscape aesthetics flow seems less dependent on 'pristine nature' than experts and planners assume, while the complex integration of green and grey landscape features plays a critical role. On the other hand, urban and periurban landscapes as key landscape aesthetics providers should receive additional attention in land-use policies.",,,,,24,25,0264-8377,1873-5754,,WOS:000442067100051,
J,"Garcia, Xavier; Benages-Albert, Marta; Vall-Casas, Pere",,,,"Benages-Albert, Marta/X-6089-2018","Benages-Albert, Marta/0000-0002-4506-0432; Garcia, Xavier/0000-0002-1789-7403",,Landscape conflict assessment based on a mixed methods analysis of qualitative PPGIS data,,,,ECOSYSTEM SERVICES,,,32,,,,112,124,,10.1016/j.ecoser.2018.07.003,,,,Aug-18,2018,"The paper presents a public participation GIS (PPGIS) approach designed to support landscape decision-making by spatially identifying and describing conflict. This method is based on participatory mapping and qualitative interpretation of positive landscape values (stemming from cultural ecosystem services), negative landscape values (derived from landscape factors that negatively influence social perception), and improvement preferences. It is developed and tested using data collected from 53 interviews with local community members from a highly urbanised stream corridor in the Metropolitan Region of Barcelona (Spain). Intensity score maps of positive/negative landscape values are combined according to their significant spatial co-existence. Conflict index maps are computed for each co-existing pair of positive/negative values, delimiting the areas with the highest index values. Qualitative analysis of the improvement preferences identified within these areas contributed to an understanding of the reasons behind these conflicts. Finally, a weighted linear combination of the positive/negative landscape value intensity maps is applied to identify the areas with the highest level of conflict. Therefore, this approach not only produces a spatial delimitation and prioritization of landscape conflict based on context specific landscape values, but it also characterizes the underlying drivers of conflict on the basis of the qualitative understanding of improvement preferences.",,,,,5,6,2212-0416,,,WOS:000439428500012,
